data;

set TASKS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set SERVERS := s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11;

# Precedences
set PRE := (1,6) (1,5) (2,6) (3,8) (4,5) (4,7) (4,8) (5,11) (5,12) (5,9) (6,12) (6,9) (6,10) (7,11) (8,12) (8,10) (8,11) (11,14) (12,14);

param: C :=
1 1
2 2
3 8
4 3
5 1
6 9
7 9
8 6
9 10
10 7
11 9
12 6
13 7
14 8
15 1
;

param: T :=
1 100
2 150
3 50
4 100
5 150
6 50
7 100
8 50
9 50
10 50
11 50
12 100
13 50
14 150
15 50
;

param: D :=
1 100
2 150
3 50
4 100
5 150
6 50
7 100
8 50
9 50
10 50
11 50
12 100
13 50
14 150
15 50
;

param: Mreq :=
1 3
2 3
3 1
4 3
5 2
6 2
7 3
8 2
9 3
10 1
11 1
12 1
13 3
14 1
15 1
;

param: util :=
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
;

param: U :=
s1 0.49
s2 0.38
s3 0.48
s4 0.47
s5 0.34
s6 0.25
s7 0.37
s8 0.38
s9 0.3
s10 0.23
s11 0.07
;

param: MEM :=
s1 17
s2 20
s3 13
s4 18
s5 14
s6 16
s7 16
s8 15
s9 15
s10 16
s11 20
;

param Delta:
      s1   s2   s3   s4   s5   s6   s7   s8   s9   s10   s11 :=
s1   0   0   0   0   0   0   5   0   0   0   0
s2   0   0   0   0   0   0   4   0   0   0   0
s3   0   0   0   0   0   0   0   1   0   0   0
s4   0   0   0   0   0   0   0   3   0   0   0
s5   0   0   0   0   0   0   0   0   4   0   0
s6   0   0   0   0   0   0   0   0   2   0   0
s7   0   0   0   0   0   0   0   4   0   0   5
s8   0   0   0   0   0   0   4   0   4   0   0
s9   0   0   0   0   0   0   0   4   0   4   0
s10   0   0   0   0   0   0   0   0   4   0   0
s11   0   0   0   0   0   0   5   0   0   0   0
;

param BigM := 100;

end;
