data;

set TASKS := 1 2 3 4 5;
set SERVERS := s1 s2 s3 s4 s5 s6 s7 s8;

# Precedences
set PRE := (1,3) (3,5) (4,5);

param: C :=
1 5
2 9
3 10
4 6
5 9
;

param: T :=
1 150
2 150
3 150
4 100
5 50
;

param: D :=
1 150
2 150
3 150
4 100
5 50
;

param: Mreq :=
1 2
2 3
3 1
4 2
5 2
;

param: util :=
1 0
2 0
3 0
4 0
5 0
;

param: U :=
s1 0.01
s2 0.48
s3 0.47
s4 0.28
s5 0.01
s6 0.26
s7 0.31
s8 0.32
;

param: MEM :=
s1 20
s2 17
s3 15
s4 11
s5 20
s6 11
s7 10
s8 10
;

param Delta:
      s1   s2   s3   s4   s5   s6   s7   s8 :=
s1   0   0   0   0   5   0   0   0
s2   0   0   0   0   3   0   0   0
s3   0   0   0   0   0   1   0   0
s4   0   0   0   0   0   5   0   0
s5   0   0   0   0   0   2   0   2
s6   0   0   0   0   2   0   5   0
s7   0   0   0   0   0   5   0   0
s8   0   0   0   0   2   0   0   0
;

param BigM := 100;

end;
